ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
106/12/13,"19,619,331","4,454,578,768",227.50,228.00,226.50,227.00,-0.50,"6,108"
106/12/14,"17,263,313","3,956,456,249",228.00,230.50,227.50,230.50,+3.50,"6,689"
106/12/15,"42,725,779","9,781,791,170",228.50,230.00,226.50,230.00,-0.50,"7,602"
106/12/18,"15,702,664","3,565,805,928",227.00,228.00,226.50,227.00,-3.00,"5,961"
106/12/19,"25,899,129","5,844,605,314",226.50,228.50,224.00,225.00,-2.00,"7,609"
106/12/20,"34,514,333","7,748,610,375",225.00,225.50,223.50,224.50,-0.50,"10,336"
106/12/21,"20,826,164","4,696,105,505",226.50,227.00,224.50,225.00,+0.50,"5,893"
106/12/22,"19,106,483","4,315,809,802",225.00,227.50,224.00,227.50,+2.50,"6,146"
106/12/25,"4,579,675","1,045,118,165",228.00,229.50,226.50,228.50,+1.00,"2,288"
106/12/26,"13,755,843","3,118,538,018",229.00,229.00,225.00,226.00,-2.50,"3,550"
106/12/27,"12,515,245","2,820,168,625",225.00,226.00,225.00,225.00,-1.00,"5,717"
106/12/28,"24,370,371","5,521,736,966",226.50,228.00,225.00,226.00,+1.00,"7,413"
106/12/29,"25,610,443","5,861,624,377",227.50,230.00,226.50,229.50,+3.50,"8,325"
107/01/02,"18,055,269","4,188,555,408",231.50,232.50,231.00,232.50,+3.00,"9,954"
107/01/03,"31,706,091","7,504,382,512",236.00,238.00,235.50,237.00,+4.50,"13,633"
107/01/04,"29,179,613","6,963,192,636",240.00,240.00,236.50,239.50,+2.50,"10,953"
107/01/05,"23,721,255","5,681,934,695",240.00,240.00,238.00,240.00,+0.50,"8,659"
107/01/08,"21,846,692","5,281,823,362",242.00,242.50,240.50,242.00,+2.00,"10,251"
107/01/09,"19,043,123","4,588,314,012",242.00,242.00,239.50,242.00, 0.00,"7,124"
107/01/10,"25,716,220","6,118,683,273",241.50,242.00,236.00,236.50,-5.50,"10,534"
107/01/11,"32,070,338","7,500,674,455",235.00,236.00,232.50,235.00,-1.50,"9,199"
107/01/12,"23,141,291","5,463,302,207",234.50,238.00,233.50,237.00,+2.00,"7,905"
107/01/15,"28,576,533","6,832,851,887",240.00,240.00,238.00,240.00,+3.00,"9,756"
107/01/16,"23,407,632","5,609,009,540",240.00,240.50,238.00,240.50,+0.50,"8,156"
107/01/17,"38,118,119","9,207,582,787",240.50,243.00,239.00,242.00,+1.50,"12,593"
107/01/18,"50,119,952","12,406,562,364",245.00,250.00,245.00,248.50,+6.50,"19,482"
107/01/19,"55,061,292","13,975,174,348",253.50,255.50,251.50,255.50,+7.00,"18,801"
107/01/22,"45,907,509","11,934,882,643",257.50,262.00,257.00,261.50,+6.00,"13,558"
107/01/23,"34,606,444","9,155,080,569",262.50,266.00,262.50,266.00,+4.50,"13,993"
107/01/24,"42,600,813","11,022,372,004",263.00,263.00,256.50,258.00,-8.00,"17,287"
107/01/25,"46,214,756","11,981,089,514",258.00,264.00,256.50,258.00, 0.00,"15,826"
107/01/26,"43,514,523","11,101,977,348",256.50,257.50,253.50,255.00,-3.00,"12,821"
107/01/29,"31,306,234","8,067,780,117",259.00,261.50,255.00,258.50,+3.50,"12,211"
107/01/30,"37,410,591","9,523,980,994",256.00,257.50,252.50,253.00,-5.50,"12,987"
107/01/31,"45,807,808","11,670,582,000",253.00,257.50,252.00,255.00,+2.00,"13,553"
107/02/01,"30,900,457","8,022,694,430",257.50,261.00,257.00,259.50,+4.50,"13,598"
107/02/02,"25,707,560","6,633,344,540",259.00,260.00,255.00,259.50, 0.00,"11,404"
107/02/05,"46,554,379","11,742,299,859",251.00,254.50,250.50,253.00,-6.50,"16,909"
107/02/06,"104,448,048","24,944,565,955",242.50,243.50,234.00,239.00,-14.00,"35,455"
107/02/07,"82,299,178","19,903,032,966",245.00,245.50,239.50,240.00,+1.00,"22,962"
107/02/08,"31,192,550","7,468,970,072",239.50,242.00,238.00,238.50,-1.50,"10,274"
107/02/09,"65,939,265","15,227,192,540",230.00,233.00,228.50,232.50,-6.00,"19,749"
107/02/12,"42,917,236","10,113,012,768",235.50,237.50,235.00,236.50,+4.00,"10,851"
107/02/21,"76,396,174","18,582,475,956",244.50,244.50,242.00,242.50,+6.00,"21,512"
107/02/22,"45,492,993","10,977,665,819",244.00,244.00,239.00,239.50,-3.00,"10,071"
107/02/23,"26,985,776","6,578,657,620",241.00,245.00,241.00,245.00,+5.50,"10,178"
107/02/26,"36,165,810","8,910,352,170",247.00,247.50,245.00,246.50,+1.50,"12,565"
107/02/27,"44,699,119","11,061,945,363",250.50,250.50,246.00,246.00,-0.50,"10,908"
107/03/01,"43,847,984","10,669,194,561",244.00,245.00,242.00,243.00,-3.00,"11,589"
107/03/02,"35,289,170","8,453,712,014",240.00,241.00,238.50,240.00,-3.00,"10,440"
107/03/05,"27,337,846","6,607,367,732",242.50,243.00,240.50,241.50,+1.50,"9,321"
107/03/06,"36,945,780","9,155,812,210",245.50,250.00,245.50,250.00,+8.50,"13,977"
107/03/07,"30,391,219","7,525,601,638",248.00,248.50,246.00,247.00,-3.00,"10,521"
107/03/08,"20,645,694","5,172,732,531",249.50,251.50,249.00,249.50,+2.50,"8,817"
107/03/09,"22,887,063","5,723,277,170",250.00,251.00,248.50,250.50,+1.00,"7,050"
107/03/12,"25,100,615","6,370,529,728",252.00,255.00,251.50,254.00,+3.50,"10,550"
107/03/13,"34,264,883","8,816,553,606",255.50,259.00,255.00,259.00,+5.00,"11,700"
107/03/14,"24,254,838","6,220,805,864",256.50,257.50,255.50,257.00,-2.00,"8,518"
107/03/15,"19,396,493","4,965,546,715",258.00,258.00,255.00,255.00,-2.00,"5,945"
107/03/16,"62,989,326","15,930,805,360",253.00,256.00,249.50,255.00, 0.00,"18,058"
107/03/19,"22,440,766","5,679,567,964",252.50,255.50,251.00,255.00, 0.00,"9,888"
107/03/20,"22,335,151","5,640,426,203",253.00,254.00,251.50,253.00,-2.00,"9,334"
107/03/21,"32,977,737","8,325,162,114",255.00,255.00,251.00,252.50,-0.50,"11,575"
107/03/22,"27,000,718","6,797,045,014",254.50,254.50,249.50,251.50,-1.00,"10,475"
107/03/23,"52,974,390","12,994,667,867",245.00,247.00,244.00,245.00,-6.50,"20,513"
107/03/26,"39,487,945","9,582,954,454",241.50,244.50,241.50,243.50,-1.50,"11,404"
107/03/27,"31,100,260","7,732,298,021",248.00,251.00,247.00,251.00,+7.50,"11,698"
107/03/28,"29,924,411","7,349,468,217",247.50,248.00,244.00,245.00,-6.00,"13,041"
107/03/29,"36,427,345","8,888,435,870",243.00,247.00,242.50,244.00,-1.00,"12,832"
107/03/30,"16,996,346","4,212,690,462",247.50,249.50,246.00,246.00,+2.00,"7,578"
107/03/31,"3,603,912","893,664,176",247.50,249.00,246.50,247.50,+1.50,"2,409"
107/04/02,"19,029,003","4,702,581,241",248.50,249.00,245.00,246.50,-1.00,"6,951"
107/04/03,"35,813,944","8,710,200,224",243.00,244.50,242.00,244.00,-2.50,"13,270"
107/04/09,"35,465,824","8,716,801,768",248.00,248.00,243.50,245.00,+1.00,"12,437"
107/04/10,"25,268,994","6,231,896,018",244.50,249.00,243.50,245.50,+0.50,"11,912"
107/04/11,"21,777,935","5,391,978,180",246.50,248.50,246.50,248.00,+2.50,"8,813"
107/04/12,"20,476,657","5,028,226,522",248.50,248.50,244.00,245.00,-3.00,"6,898"
107/04/13,"19,946,548","4,885,963,546",246.00,246.00,244.00,244.50,-0.50,"5,549"
107/04/16,"21,608,528","5,251,556,179",243.00,244.00,242.00,243.50,-1.00,"8,436"
107/04/17,"42,756,389","10,232,256,860",243.00,243.50,237.50,238.00,-5.50,"18,381"
107/04/18,"44,768,048","10,668,587,090",239.50,241.50,236.50,238.00, 0.00,"12,132"
107/04/19,"33,230,989","8,081,404,960",242.00,244.50,241.00,244.50,+6.50,"10,987"
107/04/20,"129,890,087","29,837,344,632",228.00,231.50,228.00,229.00,-15.50,"46,349"
107/04/23,"71,901,975","16,282,275,410",226.50,227.50,225.00,226.50,-2.50,"22,048"
107/04/24,"45,206,892","10,233,860,296",225.00,227.50,225.00,227.00,+0.50,"13,970"
107/04/25,"48,975,110","11,032,111,105",225.50,226.00,224.00,225.00,-2.00,"15,136"
107/04/26,"48,176,657","10,766,085,521",225.00,225.50,221.00,222.00,-3.00,"16,253"
107/04/27,"34,443,459","7,679,131,764",225.00,225.50,221.00,223.50,+1.50,"10,859"
107/04/30,"28,500,789","6,448,117,416",224.50,228.00,222.50,227.00,+3.50,"9,480"
107/05/02,"38,436,942","8,633,492,540",227.00,227.50,222.50,223.00,-4.00,"11,445"
107/05/03,"33,507,731","7,399,813,831",221.00,222.50,220.00,220.50,-2.50,"12,287"
107/05/04,"28,477,722","6,330,594,053",221.00,224.00,220.50,223.00,+2.50,"8,445"
107/05/07,"23,751,759","5,309,421,525",225.00,225.50,221.50,223.50,+0.50,"8,951"
107/05/08,"40,324,763","9,146,327,464",224.00,228.50,223.50,228.00,+4.50,"13,229"
107/05/09,"35,597,934","8,188,991,070",228.50,232.00,228.50,229.50,+1.50,"12,616"
107/05/10,"27,530,377","6,337,230,710",231.00,231.50,229.00,229.50, 0.00,"11,051"
107/05/11,"30,693,910","7,138,428,530",232.00,234.00,230.50,233.00,+3.50,"11,920"
107/05/14,"23,577,637","5,502,726,121",234.50,234.50,232.50,233.00, 0.00,"7,666"
107/05/15,"23,771,769","5,493,470,187",233.50,234.00,229.50,230.50,-2.50,"7,810"
107/05/16,"14,834,107","3,408,682,013",229.50,230.50,228.50,230.50, 0.00,"5,398"
107/05/17,"27,702,737","6,322,484,836",231.00,231.50,226.50,226.50,-4.00,"8,428"
107/05/18,"28,187,541","6,327,474,145",225.50,227.50,223.50,223.50,-3.00,"9,720"
107/05/21,"16,417,815","3,751,438,835",225.00,230.00,225.00,229.00,+5.50,"7,591"
107/05/22,"22,422,097","5,175,634,112",230.00,233.50,229.00,229.00, 0.00,"6,963"
107/05/23,"26,737,899","6,146,178,621",231.50,231.50,228.50,228.50,-0.50,"5,059"
107/05/24,"13,450,610","3,082,675,140",229.50,230.00,228.50,229.00,+0.50,"4,240"
107/05/25,"16,486,294","3,769,909,946",228.50,229.50,228.00,228.50,-0.50,"5,474"
107/05/28,"17,673,270","4,020,203,060",229.50,230.00,226.50,227.00,-1.50,"7,239"
107/05/29,"25,770,776","5,782,293,276",226.50,226.50,223.50,225.00,-2.00,"11,400"
107/05/30,"49,667,788","10,997,306,304",224.00,224.00,220.50,221.00,-4.00,"21,406"
107/05/31,"96,587,458","21,553,655,265",221.50,224.00,220.50,224.00,+3.00,"12,737"
107/06/01,"36,652,094","8,209,412,370",224.50,226.50,224.00,224.00, 0.00,"7,627"
107/06/04,"31,257,480","7,131,988,670",227.50,229.00,227.00,229.00,+5.00,"9,746"
107/06/05,"27,714,384","6,329,201,896",230.00,230.00,226.50,229.00, 0.00,"8,509"
107/06/06,"30,375,441","6,961,135,060",229.00,230.00,227.00,230.00,+1.00,"9,758"
107/06/07,"25,277,266","5,809,345,446",231.00,231.50,228.00,230.00, 0.00,"9,146"
107/06/08,"24,192,851","5,493,234,408",229.00,229.00,226.00,227.00,-3.00,"7,775"
107/06/11,"22,028,933","4,980,629,259",226.50,227.00,225.00,226.00,-1.00,"6,726"
107/06/12,"30,189,360","6,837,374,510",225.00,229.00,224.00,229.00,+3.00,"8,281"
107/06/13,"36,081,120","8,311,856,296",229.00,232.00,228.00,232.00,+3.00,"10,687"
107/06/14,"36,932,041","8,423,126,398",230.00,230.00,226.50,226.50,-5.50,"12,252"
107/06/15,"49,506,679","11,291,127,719",225.00,231.00,224.00,231.00,+4.50,"10,090"
107/06/19,"61,142,624","13,754,800,554",225.50,226.00,224.00,225.00,-6.00,"19,088"
107/06/20,"40,708,701","9,175,159,127",224.50,227.50,223.50,226.00,+1.00,"13,262"
107/06/21,"32,572,707","7,379,769,339",227.50,228.00,226.00,226.50,+0.50,"9,421"
107/06/22,"44,211,409","9,994,644,852",224.50,227.50,224.00,227.50,+1.00,"14,388"
107/06/25,"49,058,211","10,749,795,782",220.00,220.50,218.00,218.00,X0.00,"17,959"
107/06/26,"43,080,346","9,242,648,746",215.50,216.00,212.50,214.50,-3.50,"15,639"
107/06/27,"40,863,414","8,742,004,301",216.00,216.00,212.50,213.00,-1.50,"12,681"
107/06/28,"38,816,780","8,231,075,920",211.00,214.50,210.00,212.00,-1.00,"10,772"
107/06/29,"36,848,680","7,919,779,720",212.00,217.00,212.00,216.50,+4.50,"8,652"
107/07/02,"33,496,442","7,257,081,470",218.50,219.00,214.00,214.00,-2.50,"8,508"
107/07/03,"28,663,220","6,173,115,899",215.50,218.00,213.50,214.50,+0.50,"7,758"
107/07/04,"15,359,295","3,324,927,032",217.00,217.50,215.50,216.00,+1.50,"5,434"
107/07/05,"18,225,416","3,904,832,940",214.00,215.00,213.00,214.50,-1.50,"5,581"
107/07/06,"31,344,962","6,779,063,394",217.50,217.50,215.00,217.00,+2.50,"8,620"
107/07/09,"41,165,793","9,100,880,393",219.50,223.00,218.50,221.50,+4.50,"14,795"
107/07/10,"20,196,957","4,498,264,914",223.00,224.00,222.00,222.00,+0.50,"6,922"
107/07/11,"19,854,690","4,355,547,100",220.00,220.00,218.00,220.00,-2.00,"7,437"
107/07/12,"23,806,051","5,246,628,771",218.00,222.00,218.00,220.50,+0.50,"7,885"
107/07/13,"30,419,311","6,799,894,334",222.50,224.50,222.50,224.50,+4.00,"11,723"
107/07/16,"16,107,254","3,612,296,896",224.50,225.00,223.50,223.50,-1.00,"6,321"
107/07/17,"22,554,436","5,003,028,272",222.50,223.50,221.00,221.50,-2.00,"8,636"
107/07/18,"45,802,658","10,221,407,834",223.00,224.00,222.00,223.00,+1.50,"12,139"
107/07/19,"43,976,216","9,930,715,930",225.50,227.00,224.50,224.50,+1.50,"12,076"
107/07/20,"103,652,023","24,367,904,428",235.00,237.50,233.00,237.50,+13.00,"39,544"
107/07/23,"52,269,877","12,621,500,480",239.00,245.00,238.50,241.00,+3.50,"19,777"
107/07/24,"27,468,267","6,599,675,515",240.00,241.50,238.50,241.00, 0.00,"10,574"
107/07/25,"21,530,312","5,173,924,310",239.00,241.00,239.00,240.50,-0.50,"8,491"
107/07/26,"30,856,388","7,435,261,120",241.00,242.50,239.50,241.00,+0.50,"10,235"
107/07/27,"27,129,646","6,605,479,210",242.00,244.50,241.00,244.50,+3.50,"12,493"
107/07/30,"22,803,730","5,585,710,909",244.50,245.50,244.00,245.50,+1.00,"9,953"
107/07/31,"28,202,542","6,912,550,610",243.50,246.00,242.00,246.00,+0.50,"9,460"
107/08/01,"29,777,161","7,375,488,342",247.00,248.00,246.50,248.00,+2.00,"11,667"
107/08/02,"22,775,110","5,611,725,541",249.00,249.50,243.50,244.50,-3.50,"10,343"
107/08/03,"25,165,097","6,205,758,662",246.00,248.00,245.00,247.00,+2.50,"9,585"
107/08/06,"22,364,568","5,487,396,854",245.00,247.00,244.00,245.50,-1.50,"9,732"
107/08/07,"24,352,418","5,922,738,042",245.00,245.50,241.50,241.50,-4.00,"9,665"
107/08/08,"24,382,432","6,011,480,272",245.00,247.50,244.50,247.50,+6.00,"10,247"
107/08/09,"15,128,655","3,740,736,404",247.00,248.00,246.00,247.00,-0.50,"7,127"
107/08/10,"16,125,492","3,961,311,040",246.50,247.00,244.50,245.00,-2.00,"6,558"
107/08/13,"17,881,194","4,302,280,285",241.50,243.00,239.00,240.50,-4.50,"9,875"
107/08/14,"17,488,913","4,262,753,253",245.00,245.00,242.50,243.50,+3.00,"7,415"
107/08/15,"19,236,321","4,642,117,523",244.50,244.50,239.50,241.50,-2.00,"8,920"
107/08/16,"19,155,966","4,587,260,340",238.00,241.50,238.00,239.00,-2.50,"9,397"
107/08/17,"19,634,474","4,707,354,383",239.50,241.00,239.00,239.50,+0.50,"6,680"
107/08/20,"17,014,437","4,068,729,103",239.50,240.00,238.00,239.50, 0.00,"6,640"
107/08/21,"13,871,127","3,328,215,657",239.00,241.00,238.50,241.00,+1.50,"5,474"
107/08/22,"12,679,240","3,063,201,922",241.50,242.50,240.50,242.00,+1.00,"5,009"
107/08/23,"17,216,240","4,200,671,070",243.00,244.50,243.00,244.50,+2.50,"5,660"
107/08/24,"15,446,943","3,772,959,070",245.50,246.00,243.00,243.50,-1.00,"5,099"
107/08/27,"15,579,299","3,825,736,755",246.00,246.50,244.50,245.00,+1.50,"7,858"
107/08/28,"40,410,531","10,075,613,779",248.50,250.00,248.00,249.50,+4.50,"16,881"
107/08/29,"57,633,182","14,784,556,456",253.50,259.00,253.50,259.00,+9.50,"25,668"
107/08/30,"52,622,808","13,914,404,873",264.50,268.00,262.50,263.50,+4.50,"22,862"
107/08/31,"70,000,506","17,920,548,387",257.50,259.00,254.00,256.00,-7.50,"19,019"
107/09/03,"34,510,555","8,901,193,266",259.00,260.00,256.50,257.00,+1.00,"11,442"
107/09/04,"41,455,615","10,654,493,061",258.50,259.50,255.50,257.50,+0.50,"9,069"
107/09/05,"52,706,459","13,833,360,422",260.00,264.50,259.00,264.00,+6.50,"16,421"
107/09/06,"39,779,488","10,467,251,488",268.00,268.00,261.00,261.00,-3.00,"11,996"
107/09/07,"44,746,728","11,753,033,262",263.00,264.00,260.50,264.00,+3.00,"15,015"
107/09/10,"62,851,599","16,669,866,076",266.50,266.50,262.50,264.50,+0.50,"15,504"
107/09/11,"44,981,276","11,709,484,991",263.00,263.50,258.00,260.00,-4.50,"14,768"
107/09/12,"38,415,965","9,987,682,900",261.00,262.00,258.00,260.50,+0.50,"12,104"
107/09/13,"37,959,180","9,721,989,110",260.00,260.00,253.50,255.00,-5.50,"14,987"
107/09/14,"40,034,219","10,379,404,959",257.00,261.50,257.00,261.00,+6.00,"15,690"
107/09/17,"25,041,358","6,483,537,091",262.50,262.50,257.00,258.00,-3.00,"10,710"
107/09/18,"34,381,152","8,771,502,830",256.50,257.00,254.00,254.50,-3.50,"11,097"
107/09/19,"69,978,711","18,074,954,749",258.00,260.00,257.00,258.00,+3.50,"14,056"
107/09/20,"35,577,071","9,225,009,310",261.50,261.50,257.50,260.00,+2.00,"9,444"
107/09/21,"36,500,974","9,510,363,894",261.50,261.50,258.00,261.50,+1.50,"10,159"
107/09/25,"24,978,062","6,552,894,296",261.50,264.00,260.50,263.50,+2.00,"10,082"
107/09/26,"25,061,115","6,577,367,245",263.00,263.50,261.00,263.50, 0.00,"7,007"
107/09/27,"38,495,371","10,185,827,315",264.00,266.00,262.00,265.00,+1.50,"11,536"
107/09/28,"39,645,486","10,412,455,506",266.00,266.00,260.00,262.50,-2.50,"13,060"
107/10/01,"22,409,380","5,882,532,290",262.00,264.00,261.00,263.00,+0.50,"11,914"
107/10/02,"38,391,491","9,926,505,357",262.00,263.00,257.00,257.50,-5.50,"17,095"
107/10/03,"25,228,536","6,527,393,860",257.50,260.00,257.00,260.00,+2.50,"9,992"
107/10/04,"38,009,727","9,690,178,362",257.00,257.50,254.00,254.00,-6.00,"15,094"
107/10/05,"40,396,660","10,101,451,270",250.00,253.00,248.50,250.00,-4.00,"16,031"
107/10/08,"51,083,958","12,426,290,240",245.50,246.50,241.00,243.50,-6.50,"20,745"
107/10/09,"28,933,345","7,051,600,725",243.50,245.00,242.00,244.00,+0.50,"11,743"
107/10/11,"96,033,657","22,115,862,239",233.50,233.50,227.00,227.50,-16.50,"37,543"
107/10/12,"54,439,769","12,650,322,522",231.00,237.00,229.00,237.00,+9.50,"17,980"
107/10/15,"46,471,280","10,766,953,220",234.00,234.00,230.50,230.50,-6.50,"16,558"
107/10/16,"39,129,077","9,155,829,047",229.50,237.00,229.00,237.00,+6.50,"15,182"
107/10/17,"42,887,858","10,318,955,161",241.50,243.00,238.00,238.50,+1.50,"17,550"
107/10/18,"27,793,430","6,587,887,632",238.00,239.00,235.50,236.50,-2.00,"10,599"
107/10/19,"29,648,460","6,927,405,460",231.00,236.50,230.00,236.00,-0.50,"12,378"
107/10/22,"29,275,777","6,872,467,149",232.50,238.00,231.50,237.00,+1.00,"10,384"
107/10/23,"36,757,745","8,538,586,595",232.00,234.00,230.00,230.00,-7.00,"13,071"
107/10/24,"45,480,950","10,426,514,872",230.00,231.00,227.00,229.50,-0.50,"17,339"
107/10/25,"75,524,118","16,643,542,368",220.50,222.00,219.50,219.50,-10.00,"27,514"
107/10/26,"54,073,644","11,941,421,696",223.00,224.00,217.00,221.00,+1.50,"17,106"
107/10/29,"18,463,792","4,107,663,616",223.00,224.00,221.00,222.50,+1.50,"7,679"
107/10/30,"29,085,931","6,487,213,284",221.00,225.00,220.50,223.00,+0.50,"8,574"
107/10/31,"59,933,201","13,844,478,353",228.00,234.00,228.00,234.00,+11.00,"19,183"
107/11/01,"44,514,797","10,480,329,245",236.00,237.00,233.00,235.50,+1.50,"11,435"
107/11/02,"30,785,361","7,249,667,833",236.50,236.50,233.50,236.50,+1.00,"11,223"
107/11/05,"28,157,065","6,592,130,635",233.00,235.50,232.00,235.00,-1.50,"6,994"
107/11/06,"35,501,176","8,311,988,968",234.00,235.50,232.50,234.50,-0.50,"7,013"
107/11/07,"39,842,652","9,337,023,278",233.00,236.00,232.50,234.00,-0.50,"7,387"
107/11/08,"28,086,146","6,645,771,069",237.50,237.50,236.00,236.50,+2.50,"9,461"
107/11/09,"23,792,081","5,526,997,792",234.50,234.50,231.00,231.00,-5.50,"7,886"
107/11/12,"26,202,445","6,101,377,163",230.00,234.50,230.00,231.50,+0.50,"6,252"
107/11/13,"37,565,127","8,504,691,960",224.50,228.00,224.50,227.50,-4.00,"11,507"
107/11/14,"24,565,279","5,639,284,241",230.00,231.00,228.50,228.50,+1.00,"6,007"
107/11/15,"22,230,228","5,124,189,444",229.50,232.00,228.50,231.00,+2.50,"5,996"
107/11/16,"47,138,909","10,696,822,542",229.00,229.00,225.00,226.00,-5.00,"16,009"
107/11/19,"51,034,754","11,355,347,628",225.00,225.00,221.00,222.00,-4.00,"16,289"
107/11/20,"45,686,756","9,995,960,780",219.00,220.50,218.00,218.00,-4.00,"16,874"
107/11/21,"38,478,343","8,361,178,460",214.50,220.00,214.00,219.00,+1.00,"13,580"
107/11/22,"22,060,610","4,867,686,945",221.50,222.00,219.00,219.00, 0.00,"9,095"
107/11/23,"15,553,334","3,406,422,046",220.50,220.50,217.00,218.50,-0.50,"6,164"
107/11/26,"35,267,804","7,847,501,792",219.00,224.00,218.50,223.00,+4.50,"9,422"
107/11/27,"32,676,349","7,239,283,641",220.00,224.50,219.00,224.00,+1.00,"10,170"
107/11/28,"24,759,026","5,560,623,349",222.50,227.00,222.00,226.50,+2.50,"8,316"
107/11/29,"46,206,207","10,629,450,003",231.50,231.50,229.00,229.00,+2.50,"15,849"
107/11/30,"57,352,957","12,995,823,319",229.50,231.00,225.50,225.50,-3.50,"10,931"
107/12/03,"49,612,186","11,579,966,474",231.00,235.00,231.00,235.00,+9.50,"19,747"
107/12/04,"41,947,162","9,791,147,799",233.00,234.50,231.00,234.00,-1.00,"12,545"
107/12/05,"45,634,576","10,316,394,736",226.50,227.50,225.00,226.00,-8.00,"15,703"
107/12/06,"40,181,112","8,853,295,746",220.00,222.00,219.50,220.00,-6.00,"15,702"
107/12/07,"31,997,568","7,097,739,916",222.50,223.50,220.50,221.00,+1.00,"8,315"
107/12/10,"26,229,461","5,744,814,170",219.50,220.00,218.50,219.00,-2.00,"8,650"
107/12/11,"27,395,220","6,067,551,383",220.00,223.00,219.00,222.50,+3.50,"8,509"
107/12/12,"32,926,379","7,418,108,779",223.50,227.00,222.50,226.50,+4.00,"9,117"
107/12/13,"32,433,141","7,345,479,366",227.00,227.50,225.00,226.00,-0.50,"8,635"
107/12/14,"43,226,159","9,570,070,114",223.00,223.50,220.50,222.50,-3.50,"10,454"
107/12/17,"18,964,952","4,229,977,248",221.00,225.00,220.00,223.50,+1.00,"6,449"
107/12/18,"30,270,541","6,713,448,829",221.00,223.00,220.50,222.50,-1.00,"10,521"
107/12/19,"23,415,082","5,255,393,450",222.00,225.50,222.00,225.50,+3.00,"7,875"
107/12/20,"38,697,116","8,573,665,030",221.00,222.50,221.00,221.00,-4.50,"10,528"
107/12/21,"46,947,532","10,401,202,852",219.00,224.00,219.00,223.50,+2.50,"9,554"
107/12/22,"5,185,247","1,145,814,834",220.00,221.50,220.00,221.50,-2.00,"2,229"
107/12/24,"23,376,100","5,151,549,100",221.50,221.50,219.50,220.00,-1.50,"6,122"
107/12/25,"19,402,777","4,198,767,163",215.50,218.00,215.00,217.50,-2.50,"8,065"
107/12/26,"16,893,259","3,678,108,462",218.50,219.50,216.00,216.50,-1.00,"6,998"
107/12/27,"21,915,484","4,874,845,852",222.00,224.00,220.50,223.00,+6.50,"9,531"
107/12/28,"30,156,773","6,762,447,425",223.50,225.50,222.50,225.50,+2.50,"10,247"
108/01/02,"32,900,482","7,276,419,230",226.50,226.50,219.00,219.50,-6.00,"12,329"
108/01/03,"34,615,620","7,459,051,790",214.00,218.00,214.00,215.50,-4.00,"14,549"
108/01/04,"67,043,521","13,987,136,785",211.50,211.50,206.50,208.00,-7.50,"28,786"
108/01/07,"35,695,176","7,591,116,569",212.00,214.00,211.00,213.00,+5.00,"11,224"
108/01/08,"23,794,481","5,019,703,557",212.00,212.50,210.00,211.00,-2.00,"9,377"
108/01/09,"51,255,446","11,006,827,093",212.00,216.50,211.00,215.50,+4.50,"14,098"
108/01/10,"20,832,593","4,491,377,349",216.00,216.50,214.50,216.00,+0.50,"6,018"
108/01/11,"28,658,288","6,296,719,320",219.00,220.50,218.00,220.50,+4.50,"11,198"
108/01/14,"17,612,296","3,844,735,324",218.50,220.00,217.00,218.50,-2.00,"6,469"
108/01/15,"42,990,923","9,399,209,983",216.50,221.00,215.50,221.00,+2.50,"11,609"
108/01/16,"30,038,282","6,563,789,758",218.50,220.00,217.50,217.50,-3.50,"8,950"
108/01/17,"21,163,986","4,646,131,841",218.00,221.00,218.00,220.50,+3.00,"8,288"
108/01/18,"52,677,569","11,530,053,787",219.00,220.00,217.50,218.50,-2.00,"15,157"
108/01/21,"32,515,866","7,208,829,658",220.00,223.00,220.00,221.00,+2.50,"10,549"
108/01/22,"30,958,483","6,854,867,566",220.00,223.00,219.00,223.00,+2.00,"8,258"
108/01/23,"18,671,213","4,121,110,926",221.50,222.00,220.00,220.50,-2.50,"7,059"
108/01/24,"31,348,924","6,958,753,608",222.50,222.50,220.50,222.50,+2.00,"6,291"
108/01/25,"48,039,764","10,870,045,150",226.50,227.00,225.00,226.00,+3.50,"14,979"
108/01/28,"29,134,257","6,665,379,096",229.50,229.50,228.00,229.00,+3.00,"10,189"
108/01/29,"42,566,520","9,486,156,460",222.50,225.00,222.00,222.50,-6.50,"13,344"
108/01/30,"51,889,945","11,453,957,730",220.50,221.50,220.00,221.00,-1.50,"12,858"
108/02/11,"81,360,106","18,546,167,132",228.00,229.00,226.50,228.00,+7.00,"21,689"
108/02/12,"30,125,670","6,921,488,930",230.00,230.00,229.00,230.00,+2.00,"13,313"
108/02/13,"28,634,925","6,575,201,825",232.00,232.00,228.50,229.00,-1.00,"10,230"
108/02/14,"23,647,751","5,392,943,977",229.50,230.00,226.00,227.00,-2.00,"6,873"
108/02/15,"22,369,799","5,093,773,373",229.00,229.00,226.50,227.00, 0.00,"5,743"
108/02/18,"18,163,916","4,169,729,625",229.00,230.50,228.50,230.00,+3.00,"7,035"
108/02/19,"18,423,023","4,228,108,427",230.00,230.50,229.00,229.00,-1.00,"6,471"
108/02/20,"31,887,710","7,430,197,670",231.50,234.50,231.00,234.50,+5.50,"14,241"
108/02/21,"34,013,489","8,013,908,284",235.50,236.50,234.50,236.50,+2.00,"11,443"
